location_id,city,state_province,country,postal_code
10001,Juneau,Alaska,United States,99801  
10002,Saint John,New Brunswick,Canada,E2L 4B3
10003,Baton Rouge,Louisiana,United States,70802
10004,Regina,Saskatchewan,Canada,S4P 3Y2
10005,Reno,Nevada,United States,89501
10006,Thunder Bay,Ontario,Canada,P7E 1C2 
10007,Bismarck,North Dakota,United States,58501
10008,Whitehorse,Yukon,Canada,Y1A 2C6
10009,Helena,Montana,United States,59601  
10010,Red Deer,Alberta,Canada,T4N 5H2  
10011,Concord,New Hampshire,United States,03301  
10012,Lethbridge,Alberta,Canada,T1J 0Z4  
10013,Topeka,Kansas,United States,66601  
10014,Lansing,Michigan,United States,48901
10015,Tallahassee,Florida,United States,32301  
10016,Prince George,British Columbia,Canada,V2L 5E6
10017,Columbus,Ohio,United States,43201     
10018,Windsor,Ontario,Canada,N8X 3P4  
10019,Jackson,Mississippi,United States,39201
10020,Corner Brook,Newfoundland and Labrador,Canada,A2H 6J7
